year,month,offense,age,age_group,sex,race,weapon
2021,May,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,34,30-39,Female,Black or African American,Other weapon
2021,Aug,Aggravated Assault,44,40-49,Female,White,Unarmed
2021,Jun,Aggravated Assault,40,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,19,Under 20,Female,Black or African American,Other weapon
2021,Jun,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Jan,Robbery,31,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Jun,Aggravated Assault,43,40-49,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Female,White,Unarmed
2021,Oct,Robbery,26,25-29,Male,Black or African American,Other weapon
2021,Apr,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Dec,Aggravated Assault,43,40-49,Male,White,Firearm-related
2021,Mar,Aggravated Assault,56,50 or above,Male,White,Other weapon
2021,Feb,Aggravated Assault,48,40-49,Male,White,Unarmed
2021,May,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Feb,Robbery,31,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,35,30-39,Female,White,Unarmed
2021,Sep,Rape,52,50 or above,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,22,20-24,Female,White,Unarmed
2021,Oct,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Jun,Robbery,48,40-49,Female,White,Unarmed
2021,Oct,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Jul,Aggravated Assault,41,40-49,Male,White,Other weapon
2021,May,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Feb,Murder and Nonnegligent Manslaughter,27,25-29,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,21,20-24,Male,White,Other weapon
2021,Dec,Aggravated Assault,43,40-49,Male,White,Other weapon
2021,Jul,Robbery,23,20-24,Female,White,Unarmed
2021,Jun,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Sep,Aggravated Assault,69,50 or above,Male,White,Other weapon
2021,Jul,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Jun,Aggravated Assault,47,40-49,Male,White,Firearm-related
2021,Jul,Robbery,34,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2021,Oct,Robbery,23,20-24,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,63,50 or above,Male,White,Unarmed
2021,Dec,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,44,40-49,Male,White,Other weapon
2021,Jun,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,27,25-29,Male,Black or African American,Firearm-related
2021,Apr,Aggravated Assault,31,30-39,Female,Black or African American,Unarmed
2021,Apr,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,47,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,37,30-39,Female,Black or African American,Other weapon
2021,Nov,Aggravated Assault,26,25-29,Female,White,Unarmed
2021,Oct,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,39,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,32,30-39,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,25,25-29,Male,Black or African American,Other weapon
2021,Apr,Robbery,29,25-29,Male,White,Unarmed
2021,Dec,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Nov,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Oct,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Jan,Robbery,37,30-39,Male,White,Unarmed
2021,May,Aggravated Assault,53,50 or above,Male,White,Other weapon
2021,Sep,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Mar,Aggravated Assault,57,50 or above,Male,White,Unarmed
2021,Dec,Aggravated Assault,35,30-39,Male,Black or African American,Other weapon
2021,Dec,Aggravated Assault,29,25-29,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Apr,Aggravated Assault,34,30-39,Male,Black or African American,Firearm-related
2021,Sep,Aggravated Assault,54,50 or above,Male,White,Other weapon
2021,Mar,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Dec,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Nov,Aggravated Assault,29,25-29,Female,Black or African American,Unarmed
2021,Dec,Robbery,24,20-24,Male,White,Unarmed
2021,Jun,Aggravated Assault,48,40-49,Male,White,Other weapon
2021,Nov,Aggravated Assault,45,40-49,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,54,50 or above,Female,Black or African American,Other weapon
2021,Nov,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Mar,Robbery,25,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,33,30-39,Female,Black or African American,Unarmed
2021,Oct,Robbery,30,30-39,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Sep,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Aug,Aggravated Assault,31,30-39,Female,White,Unarmed
2021,Aug,Aggravated Assault,56,50 or above,Male,Black or African American,Unarmed
2021,Aug,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,52,50 or above,Female,White,Unarmed
2021,May,Robbery,23,20-24,Male,White,Unarmed
2021,Oct,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Jul,Robbery,57,50 or above,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Mar,Aggravated Assault,47,40-49,Female,White,Unarmed
2021,Oct,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Jun,Aggravated Assault,26,25-29,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,19,Under 20,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,23,20-24,Male,White,Other weapon
2021,Jun,Robbery,22,20-24,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,23,20-24,Male,White,Unarmed
2021,Jan,Aggravated Assault,27,25-29,Male,White,Unarmed
2021,Jun,Aggravated Assault,26,25-29,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,23,20-24,Male,White,Unarmed
2021,Aug,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Nov,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Jun,Aggravated Assault,29,25-29,Male,White,Firearm-related
2021,Mar,Aggravated Assault,52,50 or above,Male,Black or African American,Other weapon
2021,Nov,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Jul,Robbery,39,30-39,Female,White,Unarmed
2021,Apr,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,May,Aggravated Assault,24,20-24,Male,Black or African American,Firearm-related
2021,Nov,Robbery,45,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,41,40-49,Male,White,Other weapon
2021,Jun,Robbery,19,Under 20,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,39,30-39,Male,Black or African American,Other weapon
2021,Oct,Aggravated Assault,45,40-49,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,37,30-39,Male,White,Unarmed
2021,May,Aggravated Assault,24,20-24,Female,Black or African American,Unarmed
2021,Feb,Aggravated Assault,69,50 or above,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,27,25-29,Male,Black or African American,Unarmed
2021,Nov,Robbery,41,40-49,Male,White,Unarmed
2021,May,Robbery,25,25-29,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,42,40-49,Male,White,Unarmed
2021,Jun,Aggravated Assault,47,40-49,Male,Black or African American,Other weapon
2021,Jul,Robbery,26,25-29,Female,White,Unarmed
2021,Dec,Rape,38,30-39,Male,White,Unarmed
2021,Jul,Robbery,34,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,62,50 or above,Male,White,Firearm-related
2021,Nov,Robbery,21,20-24,Male,White,Unarmed
2021,Oct,Robbery,62,50 or above,Male,Black or African American,Firearm-related
2021,May,Aggravated Assault,24,20-24,Female,Black or African American,Other weapon
2021,Sep,Robbery,31,30-39,Female,White,Other weapon
2021,Apr,Aggravated Assault,24,20-24,Female,White,Unarmed
2021,Oct,Murder and Nonnegligent Manslaughter,31,30-39,Male,Black or African American,Unarmed
2021,Jul,Robbery,68,50 or above,Female,White,Unarmed
2021,Dec,Rape,21,20-24,Male,White,Unarmed
2021,Aug,Robbery,42,40-49,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,67,50 or above,Male,White,Unarmed
2021,May,Aggravated Assault,23,20-24,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,46,40-49,Female,Black or African American,Unarmed
2021,Jun,Aggravated Assault,43,40-49,Male,Black or African American,Unarmed
2021,May,Robbery,39,30-39,Male,Black or African American,Firearm-related
2021,May,Robbery,37,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,26,25-29,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,65,50 or above,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,49,40-49,Male,White,Unarmed
2021,Jun,Robbery,44,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,23,20-24,Female,Black or African American,Unarmed
2021,Nov,Aggravated Assault,32,30-39,Male,Black or African American,Unarmed
2021,Jun,Robbery,20,20-24,Male,White,Unarmed
2021,Aug,Aggravated Assault,29,25-29,Male,Black or African American,Other weapon
2021,Jan,Robbery,29,25-29,Female,White,Unarmed
2021,Feb,Robbery,34,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,32,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,27,25-29,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,19,Under 20,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,31,30-39,Male,Black or African American,Other weapon
2021,Mar,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Nov,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,36,30-39,Female,White,Unarmed
2021,Mar,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,36,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,19,Under 20,Male,White,Unarmed
2021,Nov,Aggravated Assault,27,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,22,20-24,Male,White,Other weapon
2021,Mar,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Aug,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,47,40-49,Male,Black or African American,Unarmed
2021,Jun,Murder and Nonnegligent Manslaughter,38,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,41,40-49,Male,White,Other weapon
2021,Apr,Aggravated Assault,50,50 or above,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,34,30-39,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,24,20-24,Female,White,Unarmed
2021,Nov,Aggravated Assault,39,30-39,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,May,Aggravated Assault,28,25-29,Male,White,Firearm-related
2021,Apr,Aggravated Assault,37,30-39,Male,White,Other weapon
2021,May,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,53,50 or above,Male,White,Other weapon
2021,Jul,Robbery,22,20-24,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,Oct,Robbery,46,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,36,30-39,Male,Black or African American,Unarmed
2021,Jan,Robbery,22,20-24,Male,White,Unarmed
2021,Aug,Aggravated Assault,45,40-49,Male,White,Other weapon
2021,Apr,Aggravated Assault,53,50 or above,Male,White,Other weapon
2021,Nov,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Apr,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Apr,Murder and Nonnegligent Manslaughter,24,20-24,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,23,20-24,Female,White,Unarmed
2021,Jul,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,53,50 or above,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,62,50 or above,Male,White,Unarmed
2021,Feb,Aggravated Assault,35,30-39,Male,Black or African American,Other weapon
2021,Jun,Robbery,31,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,57,50 or above,Male,White,Unarmed
2021,May,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed
2021,Jul,Robbery,32,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,49,40-49,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,32,30-39,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,36,30-39,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,84,50 or above,Male,Black or African American,Other weapon
2021,Feb,Aggravated Assault,34,30-39,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,20,20-24,Female,Black or African American,Unarmed
2021,Mar,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Aug,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,Aug,Robbery,26,25-29,Male,White,Unarmed
2021,Oct,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Mar,Murder and Nonnegligent Manslaughter,26,25-29,Male,Black or African American,Unarmed
2021,Sep,Robbery,35,30-39,Male,White,Unarmed
2022,Jan,Murder and Nonnegligent Manslaughter,34,30-39,Male,White,Firearm-related
2021,Sep,Aggravated Assault,47,40-49,Male,Black or African American,Unarmed
2021,May,Robbery,24,20-24,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,25,25-29,Male,White,Other weapon
2021,Aug,Aggravated Assault,30,30-39,Female,White,Unarmed
2021,May,Aggravated Assault,23,20-24,Male,White,Other weapon
2021,Dec,Aggravated Assault,56,50 or above,Male,White,Other weapon
2021,May,Rape,48,40-49,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Jul,Robbery,28,25-29,Male,White,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,White,Other weapon
2021,Aug,Aggravated Assault,60,50 or above,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,Black or African American,Firearm-related
2021,Feb,Robbery,34,30-39,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
2021,Jan,Robbery,23,20-24,Female,White,Unarmed
2021,Oct,Aggravated Assault,29,25-29,Female,Black or African American,Other weapon
2021,Jan,Aggravated Assault,51,50 or above,Female,White,Unarmed
2021,May,Aggravated Assault,24,20-24,Male,Black or African American,Firearm-related
2021,Oct,Aggravated Assault,39,30-39,Male,Black or African American,Unarmed
2021,Sep,Robbery,29,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Mar,Robbery,24,20-24,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,30,30-39,Male,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,45,40-49,Female,White,Unarmed
2021,Aug,Aggravated Assault,28,25-29,Female,White,Unarmed
2021,Aug,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,22,20-24,Female,White,Other weapon
2021,Nov,Robbery,44,40-49,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,56,50 or above,Male,Black or African American,Other weapon
2021,Aug,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
2021,May,Robbery,25,25-29,Male,Black or African American,Unarmed
2021,Aug,Rape,40,40-49,Male,White,Unarmed
2021,Feb,Aggravated Assault,38,30-39,Male,White,Other weapon
2021,Jun,Aggravated Assault,23,20-24,Female,Black or African American,Other weapon
2021,Mar,Aggravated Assault,37,30-39,Female,White,Other weapon
2021,Aug,Aggravated Assault,24,20-24,Male,Black or African American,Other weapon
2021,Jul,Aggravated Assault,36,30-39,Female,Black or African American,Unarmed
2021,Jun,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,39,30-39,Female,Black or African American,Other weapon
2021,Jun,Aggravated Assault,48,40-49,Female,Black or African American,Unarmed
2021,Apr,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Jan,Aggravated Assault,57,50 or above,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,61,50 or above,Male,Black or African American,Other weapon
2021,May,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Oct,Aggravated Assault,49,40-49,Male,White,Other weapon
2021,Feb,Aggravated Assault,28,25-29,Male,White,Firearm-related
2021,Dec,Aggravated Assault,47,40-49,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,36,30-39,Female,White,Unarmed
2021,Jul,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Dec,Rape,30,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,32,30-39,Female,Black or African American,Other weapon
2021,Aug,Robbery,40,40-49,Male,Black or African American,Unarmed
2021,Mar,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,20,20-24,Female,Black or African American,Other weapon
2021,Oct,Robbery,20,20-24,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,28,25-29,Female,White,Other weapon
2021,Jul,Aggravated Assault,20,20-24,Female,White,Other weapon
2021,Mar,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Nov,Robbery,45,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,27,25-29,Male,White,Unarmed
2021,May,Robbery,16,Under 20,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,33,30-39,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Aug,Aggravated Assault,69,50 or above,Male,White,Firearm-related
2021,Oct,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jul,Robbery,48,40-49,Male,Black or African American,Other weapon
2021,Nov,Aggravated Assault,22,20-24,Male,White,Firearm-related
2021,Jul,Aggravated Assault,41,40-49,Male,Black or African American,Other weapon
2021,Mar,Robbery,39,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,29,25-29,Male,Black or African American,Firearm-related
2021,Dec,Rape,46,40-49,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,24,20-24,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,59,50 or above,Male,White,Unarmed
2021,Oct,Aggravated Assault,57,50 or above,Male,White,Unarmed
2021,Nov,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,43,40-49,Female,White,Unarmed
2021,Jun,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Apr,Aggravated Assault,44,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,24,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,42,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,53,50 or above,Male,White,Unarmed
2021,Oct,Robbery,38,30-39,Male,Black or African American,Unarmed
2021,Jan,Robbery,28,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,45,40-49,Male,White,Firearm-related
2021,May,Aggravated Assault,20,20-24,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,28,25-29,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,22,20-24,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Mar,Aggravated Assault,20,20-24,Female,White,Unarmed
2021,Jul,Aggravated Assault,22,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,17,Under 20,Male,White,Other weapon
2021,Sep,Aggravated Assault,19,Under 20,Male,White,Unarmed
2021,Oct,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
